x,y,z,qw,qx,qy,qz
0,0,1.2,-0.267238376078257,0,0.963630453208623,0
0,0,1.2,-0.275637355816999,0,0.961261695938319,0
0,0,1.2,-0.284015344703923,0,0.958819734868193,0
0,0,1.2,-0.292371704722737,0,0.956304755963036,0
0,0,1.2,-0.300705799504273,0,0.953716950748227,0
0,0,1.2,-0.309016994374947,0,0.951056516295154,0
0,0,1.2,-0.317304656405092,0,0.948323655206199,0
0,0,1.2,-0.325568154457157,0,0.945518575599317,0
0,0,1.2,-0.333806859233771,0,0.942641491092178,0
0,0,1.2,-0.342020143325669,0,0.939692620785908,0
0,0,1.2,-0.350207381259467,0,0.936672189248398,0
0,0,1.2,-0.3583679495453,0,0.933580426497202,0
0,0,1.2,-0.366501226724297,0,0.930417567982025,0
0,0,1.2,-0.374606593415912,0,0.927183854566787,0
0,0,1.2,-0.38268343236509,0,0.923879532511287,0
0,0,1.2,-0.390731128489274,0,0.92050485345244,0
0,0,1.2,-0.398749068925246,0,0.917060074385124,0
0,0,1.2,-0.4067366430758,0,0.913545457642601,0
0,0,1.2,-0.414693242656239,0,0.909961270876543,0
0,0,1.2,-0.422618261740699,0,0.90630778703665,0
0,0,1.2,-0.430511096808295,0,0.902585284349861,0
0,0,1.2,-0.438371146789078,0,0.898794046299167,0
0,0,1.2,-0.446197813109809,0,0.894934361602025,0
0,0,1.2,-0.453990499739547,0,0.891006524188368,0
0,0,1.2,-0.461748613235034,0,0.887010833178222,0
0,0,1.2,-0.469471562785891,0,0.882947592858927,0
0,0,1.2,-0.477158760259608,0,0.878817112661965,0
0,0,1.2,-0.484809620246337,0,0.874619707139396,0
0,0,1.2,-0.492423560103467,0,0.8703556959399,0
0,0,1.2,-0.5,0,0.866025403784439,0
0,0,1.2,-0.507538362960704,0,0.861629160441526,0
0,0,1.2,-0.515038074910054,0,0.857167300702112,0
0,0,1.2,-0.522498564715949,0,0.852640164354092,0
0,0,1.2,-0.529919264233205,0,0.848048096156426,0
0,0,1.2,-0.537299608346824,0,0.843391445812886,0
0,0,1.2,-0.544639035015027,0,0.838670567945424,0
0,0,1.2,-0.551936985312058,0,0.833885822067168,0
0,0,1.2,-0.559192903470747,0,0.829037572555042,0
0,0,1.2,-0.566406236924833,0,0.824126188622016,0
0,0,1.2,-0.573576436351046,0,0.819152044288992,0
0,0,1.2,-0.58070295571094,0,0.814115518356319,0
0,0,1.2,-0.587785252292473,0,0.809016994374947,0
0,0,1.2,-0.594822786751341,0,0.803856860617217,0
0,0,1.2,-0.601815023152048,0,0.798635510047293,0
0,0,1.2,-0.608761429008721,0,0.793353340291235,0
0,0,1.2,-0.615661475325658,0,0.788010753606722,0
0,0,1.2,-0.622514636637619,0,0.782608156852414,0
0,0,1.2,-0.629320391049837,0,0.777145961456971,0
0,0,1.2,-0.636078220277764,0,0.77162458338772,0
0,0,1.2,-0.642787609686539,0,0.766044443118978,0
0,0,1.2,-0.649448048330184,0,0.760405965600031,0
0,0,1.2,-0.656059028990507,0,0.754709580222772,0
0,0,1.2,-0.662620048215738,0,0.748955720789002,0
0,0,1.2,-0.669130606358858,0,0.743144825477394,0
0,0,1.2,-0.67559020761566,0,0.737277336810124,0
0,0,1.2,-0.681998360062498,0,0.731353701619171,0
0,0,1.2,-0.688354575693754,0,0.725374371012288,0
0,0,1.2,-0.694658370458997,0,0.719339800338651,0
0,0,1.2,-0.700909264299851,0,0.713250449154182,0
0,0,1.2,-0.707106781186547,0,0.707106781186548,0
0,0,1.2,-0.713250449154181,0,0.700909264299851,0
0,0,1.2,-0.719339800338651,0,0.694658370458997,0
0,0,1.2,-0.725374371012288,0,0.688354575693754,0
0,0,1.2,-0.73135370161917,0,0.681998360062499,0
0,0,1.2,-0.737277336810124,0,0.67559020761566,0
0,0,1.2,-0.743144825477394,0,0.669130606358858,0
0,0,1.2,-0.748955720789002,0,0.662620048215737,0
0,0,1.2,-0.754709580222772,0,0.656059028990507,0
0,0,1.2,-0.760405965600031,0,0.649448048330184,0
0,0,1.2,-0.766044443118978,0,0.642787609686539,0
0,0,1.2,-0.77162458338772,0,0.636078220277764,0
0,0,1.2,-0.777145961456971,0,0.629320391049837,0
0,0,1.2,-0.782608156852414,0,0.62251463663762,0
0,0,1.2,-0.788010753606722,0,0.615661475325658,0
0,0,1.2,-0.793353340291235,0,0.608761429008721,0
0,0,1.2,-0.798635510047293,0,0.601815023152048,0
0,0,1.2,-0.803856860617217,0,0.594822786751341,0
0,0,1.2,-0.809016994374947,0,0.587785252292473,0
0,0,1.2,-0.814115518356319,0,0.58070295571094,0
0,0,1.2,-0.819152044288992,0,0.573576436351046,0
0,0,1.2,-0.824126188622016,0,0.566406236924833,0
0,0,1.2,-0.829037572555042,0,0.559192903470747,0
0,0,1.2,-0.833885822067168,0,0.551936985312058,0
0,0,1.2,-0.838670567945424,0,0.544639035015027,0
0,0,1.2,-0.843391445812886,0,0.537299608346824,0
0,0,1.2,-0.848048096156426,0,0.529919264233205,0
0,0,1.2,-0.852640164354092,0,0.522498564715949,0
0,0,1.2,-0.857167300702112,0,0.515038074910054,0
0,0,1.2,-0.861629160441526,0,0.507538362960704,0
0,0,1.2,-0.866025403784439,0,0.5,0
0,0,1.2,-0.8703556959399,0,0.492423560103467,0
0,0,1.2,-0.874619707139396,0,0.484809620246337,0
0,0,1.2,-0.878817112661965,0,0.477158760259609,0
0,0,1.2,-0.882947592858927,0,0.469471562785891,0
0,0,1.2,-0.887010833178222,0,0.461748613235034,0
0,0,1.2,-0.891006524188368,0,0.453990499739547,0
0,0,1.2,-0.894934361602025,0,0.446197813109809,0
0,0,1.2,-0.898794046299167,0,0.438371146789077,0
0,0,1.2,-0.902585284349861,0,0.430511096808295,0
0,0,1.2,-0.90630778703665,0,0.422618261740699,0
0,0,1.2,-0.909961270876543,0,0.414693242656239,0
0,0,1.2,-0.913545457642601,0,0.4067366430758,0
0,0,1.2,-0.917060074385124,0,0.398749068925246,0
0,0,1.2,-0.92050485345244,0,0.390731128489274,0
0,0,1.2,-0.923879532511287,0,0.38268343236509,0
0,0,1.2,-0.927183854566787,0,0.374606593415912,0
0,0,1.2,-0.930417567982025,0,0.366501226724297,0
0,0,1.2,-0.933580426497202,0,0.3583679495453,0
0,0,1.2,-0.936672189248398,0,0.350207381259468,0
0,0,1.2,-0.939692620785908,0,0.342020143325669,0
0,0,1.2,-0.942641491092178,0,0.333806859233771,0
0,0,1.2,-0.945518575599317,0,0.325568154457157,0
0,0,1.2,-0.948323655206199,0,0.317304656405092,0
0,0,1.2,-0.951056516295154,0,0.309016994374948,0
0,0,1.2,-0.953716950748227,0,0.300705799504273,0
0,0,1.2,-0.956304755963036,0,0.292371704722737,0
0,0,1.2,-0.958819734868193,0,0.284015344703923,0
0,0,1.2,-0.961261695938319,0,0.275637355816999,0
0,0,1.2,-0.963630453208623,0,0.267238376078257,0
